RESPONSE;CODER;PTYNAME;PTYID;PGID;COUNTRY;CTRYID;YEAR;EUROPARTY;PARTYFAM1;PARTYFAM2;PARTYFAM3;CR2PTYFED;CR9DUESSTATE;CR12MBRNUM;CR13MBRYR;CR14AFFL;CR15AFFLYR;CR16ALLMBR;CR17ALLYR;CR20PPGLDR;CR21ORGLDR;CR22TOPCAND;CR23POLLDR;A4RECPARTYTXT;A5RECPPGTXT;A36MBRSTATE;A47LOWNAME;A67CONOTHER;A77EXCOTHER;A91EXCWOMTXT;A92EXCETHTXT;B2BALLOTTXT;B3CANLAW1TXT;B4CANLAW2TXT;B18CANWOMTXT;B19CANETH;B20CANETHTXT;B21CANRUL1;B22CANRUL2TXT;B23CANRUL3TXT;C11DEPUTY;C12DEPUTYTXT;C21PLTITLE;C30PLAFFLTXT;C58PLVOT2B;C59PLNAME
19;Mueller;Social Democratic Party;2001;973;Austria;2;2012;2;2;2;2;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
20;Mueller;Social Democratic Party;2001;973;Austria;2;2013;2;2;2;2;5;Not Applicable;200000;2013;-999;-999;200000;2013;Josef Cap;Werner Faymann;Werner Faymann;Werner Faymann;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
21;Mueller;Social Democratic Party;2001;973;Austria;2;2014;2;2;2;2;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
22;Mueller;People's Party;2002;1013;Austria;2;2008;1;1;1;1;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;In order to be included on ballots, a party has to either collect the signatures of three MPs or 2600 signatures of eligible votes (Lower Austria, Vienna: 500 voters;;;;;;;;;;;;;;
23;Mueller;People's Party;2002;1013;Austria;2;2011;1;1;1;1;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Parties are officially founded when they submit their statutes at the Ministry for Internal Affairs, publish them in a periodical publication and when there are no constitutional objections against their formation (e.g. because of a constitutional law that makes the formation of National Socialist organizations illegal).;5 MPs are required. If these MPs were not part of the same electoral list, a majority vote in the lower chamber (Nationalrat) is required to grant the formation of a legislative party group.;Not Applicable;Gemeindeparteiorganisation/Stadtparteiorganisation/Sektion;ÃAAB (Ãsterreichischer Arbeitnehmerinnen- und Arbeitnehmerbund) (employees), Wirtschaftsbund (business organization);ÃAAB (Ãsterreichischer Arbeitnehmerinnen- und Arbeitnehmerbund) (employees), Wirtschaftsbund (business organization);;;;;;;;;;;;;;;;;
24;Mueller;People's Party;2002;1013;Austria;2;2012;1;1;1;1;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
25;Mueller;People's Party;2002;1013;Austria;2;2013;1;1;1;1;3;Not Applicable;600000;2011;-999;-999;600000;2011;Karlheinz Kopf;Michael Spindelegger;Michael Spindelegger;Michael Spindelegger;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
26;Mueller;People's Party;2002;1013;Austria;2;2014;1;1;1;1;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
27;Mueller;Freedom Party;2003;50;Austria;2;2008;10;6;6;6;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;In order to be included on ballots, a party has to either collect the signatures of three MPs or 2600 signatures of eligible votes (Lower Austria, Vienna: 500 voters;;;;;;;;;;;;;;
28;Mueller;Freedom Party;2003;50;Austria;2;2011;10;6;6;6;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Parties are officially founded when they submit their statutes at the Ministry for Internal Affairs, publish them in a periodical publication and when there are no constitutional objections against their formation (e.g. because of a constitutional law that makes the formation of National Socialist organizations illegal).;5 MPs are required. If these MPs were not part of the same electoral list, a majority vote in the lower chamber (Nationalrat) is required to grant the formation of a legislative party group.;Not Applicable;StÃ¼tzpunkt/Ortsgruppe;Not Applicable;Not Applicable;No rules.;No rules.;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
29;Mueller;Freedom Party;2003;50;Austria;2;2012;10;6;6;6;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
30;Mueller;Freedom Party;2003;50;Austria;2;2013;10;6;6;6;6;Not Applicable;40000;2008;-999;-999;40000;2008;Heinz-Christian Strache;Heinz-Christian Strache;Heinz-Christian Strache;Heinz-Christian Strache;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
31;Mueller;Freedom Party;2003;50;Austria;2;2014;10;6;6;6;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
32;Mueller;The Greens;2004;1429;Austria;2;2008;4;4;4;4;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;In order to be included on ballots, a party has to either collect the signatures of three MPs or 2600 signatures of eligible votes (Lower Austria, Vienna: 500 voters;;;;;;;;;;;;;;
33;Mueller;The Greens;2004;1429;Austria;2;2011;4;4;4;4;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Parties are officially founded when they submit their statutes at the Ministry for Internal Affairs, publish them in a periodical publication and when there are no constitutional objections against their formation (e.g. because of a constitutional law that makes the formation of National Socialist organizations illegal).;5 MPs are required. If these MPs were not part of the same electoral list, a majority vote in the lower chamber (Nationalrat) is required to grant the formation of a legislative party group.;Vienna;Ortsgruppe/Gemeindegruppe (in Vienna: Bezirksgruppe);GrÃ¼ne Bildungswerkstatt (Educational Academy of the Party);GrÃ¼ne Bildungswerkstatt (Educational Academy of the Party);According to the statute, every elected body should have at least 50% of female members.;No rules.;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
34;Mueller;The Greens;2004;1429;Austria;2;2012;4;4;4;4;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
35;Mueller;The Greens;2004;1429;Austria;2;2013;4;4;4;4;2;Vienna;5518;2012;-999;-999;5518;2012;Eva Glawischnig;Eva Glawischnig;Eva Glawischnig;Eva Glawischnig;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
36;Mueller;The Greens;2004;1429;Austria;2;2014;4;4;4;4;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
37;Mueller;Alliance for the Future;2005;1536;Austria;2;2008;-999;6;6;6;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;In order to be included on ballots, a party has to either collect the signatures of three MPs or 2600 signatures of eligible votes (Lower Austria, Vienna: 500 voters;;;;;;;;;;;;;;
38;Mueller;Alliance for the Future;2005;1536;Austria;2;2011;-999;6;6;6;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Parties are officially founded when they submit their statutes at the Ministry for Internal Affairs, publish them in a periodical publication and when there are no constitutional objections against their formation (e.g. because of a constitutional law that makes the formation of National Socialist organizations illegal).;5 MPs are required. If these MPs were not part of the same electoral list, a majority vote in the lower chamber (Nationalrat) is required to grant the formation of a legislative party group.;Not Applicable;Ortsgruppe;Not Applicable;Not Applicable;No rules.;No rules.;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
39;Mueller;Alliance for the Future;2005;1536;Austria;2;2012;-999;6;6;6;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
40;Mueller;Alliance for the Future;2005;1536;Austria;2;2013;-999;6;6;6;6;Not Applicable;8000;2011;-999;-999;8000;2011;Josef Bucher;Josef Bucher;Josef Bucher;Josef Bucher;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
41;Mueller;Alliance for the Future;2005;1536;Austria;2;2014;-999;6;6;6;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
42;Deschouwer, van Haute;New Flemish Alliance;3001;501;Belgium;3;2011;-999;3;8;3;6;Not Applicable;25483;2011;-999;-999;25483;2011;Jan Jambon;Bart De Wever;Bart De Wever;Bart De Wever;To be recognized as parties (for public funding): need to create an association of natural persons, with or without legal personality, that participates in elections as planned in the Constitution and that âattempts to influence the will of the people in accordance with its statutes or its programâ. Furthermore, the party needs to be represented either in the House of Representatives or in the Senate by at least 1 directly elected representative. ;ART.11 of internal rules of the House of representatives: to be recognized as legislative party group, parties have to have a minimum of 5 members.;Not Applicable;Afdeling;Not Applicable;Not Applicable;No rules.;No rules.;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;2;Not Applicable;General President (algemeen voorzitte);No role.;-999;Bart De Wever
43;Deschouwer, van Haute;New Flemish Alliance;3001;501;Belgium;3;2012;-999;3;8;3;6;Not Applicable;36439;2012;-999;-999;36439;2012;Jan Jambon;Bart De Wever;Bart De Wever;Bart De Wever;To be recognized as parties (for public funding): need to create an association of natural persons, with or without legal personality, that participates in elections as planned in the Constitution and that âattempts to influence the will of the people in accordance with its statutes or its programâ. Furthermore, the party needs to be represented either in the House of Representatives or in the Senate by at least 1 directly elected representative. ;ART.11 of internal rules of the House of representatives: to be recognized as legislative party group, parties have to have a minimum of 5 members.;Not Applicable;Afdeling;Not Applicable;Not Applicable;No rules.;No rules.;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;2;Not Applicable;Not Applicable;Not Applicable;-999;Not Applicable
44;Deschouwer, van Haute;New Flemish Alliance;3001;501;Belgium;3;2013;-999;3;8;3;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
45;Deschouwer, van Haute;New Flemish Alliance;3001;501;Belgium;3;2014;-999;3;8;3;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Party shall present lists of candidates in each of the district in which they want to run. These lists composed of full candidates (running for direct election) and of substitute candidates (who would only sit in parliament in case a full candidate resign). In each district, the minimum number of full candidates is 1 and the maximum number equals district magnitude. For the substitute candidates, there is a fixed number of candidates equals to half the number of full candidates (with a minimum of six substitute candidates in districts where DM < 12). Lists shall be endorsed by either three incumbent MPs or by a certain number of voters. The number of signatures required equals 200 in district comprising less than 500,000 inhabitants, 400 in districts between 500,000 and 1 million inhabitants and 500 in districts with more than 1 million inhabitants.;No legal rules.;List shall be composed of half male and half female candidates, with a maximum difference of one for odd lists. Moreover, the first two positions on the list shall be occupied by a male and a female candidate, in the order determined by the party.;No rules.;2;No rules.;1;No role.;Initiative and Formal input: Electoral college at constituency level can decide which places on the list are protected, deals with the unprotected places on the list and makes suggestions to the national level;;;;;;
46;Deschouwer, van Haute;Socialist Party;3002;1378;Belgium;3;2011;2;2;2;2;5;Not Applicable;90700;2011;-999;-999;90700;2011;Thierry Giet;Elio di Rupo;Elio di Rupo;Elio di Rupo;To be recognized as parties (for public funding): need to create an association of natural persons, with or without legal personality, that participates in elections as planned in the Constitution and that âattempts to influence the will of the people in accordance with its statutes or its programâ. Furthermore, the party needs to be represented either in the House of Representatives or in the Senate by at least 1 directly elected representative. ;ART.11 of internal rules of the House of representatives: to be recognized as legislative party group, parties have to have a minimum of 5 members.;Not Applicable;Section locale;Not Applicable;Not Applicable;Only 4/5 of the appointed delegates (by the local sections) may be of the same sex.;No rules.;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;2;Not Applicable;President (PrÃ©sident);No role.;-999;Elio Di Rupo
47;Deschouwer, van Haute;Socialist Party;3002;1378;Belgium;3;2012;2;2;2;2;5;Not Applicable;91164;2012;-999;-999;91164;2012;Thierry Giet;Elio di Rupo;Elio di Rupo;Laurette Onkelinx;To be recognized as parties (for public funding): need to create an association of natural persons, with or without legal personality, that participates in elections as planned in the Constitution and that âattempts to influence the will of the people in accordance with its statutes or its programâ. Furthermore, the party needs to be represented either in the House of Representatives or in the Senate by at least 1 directly elected representative. ;ART.11 of internal rules of the House of representatives: to be recognized as legislative party group, parties have to have a minimum of 5 members.;Not Applicable;Section locale;Not Applicable;Not Applicable;Only 4/5 of the appointed delegates (by the local sections) may be of the same sex.;No rules.;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;2;Not Applicable;Not Applicable;Not Applicable;-999;Not Applicable
48;Deschouwer, van Haute;Socialist Party;3002;1378;Belgium;3;2013;2;2;2;2;-888;Not Provided;-888;-888;-888;-888;-888;-888;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;Not Provided;-888;Not Provided;-888;Not Provided;Not Provided;-888;Not Provided;Not Provided;Not Provided;-888;Not Provided
